stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1219401,,"Pharmacie Saint Rlexandre","",5.450667,-4.049103,,,0,NC006,,,
1219400,,"Pharmacie Saint Rlexandre","",5.450386,-4.049633,,,0,NC006,,,
1219500,,"Centre Sanataire Inneh","",5.4509,-4.0468,,,0,NC005,,,
1219501,,"Centre Sanitaire Inneh","",5.451,-4.046708,,,0,NC005,,,
1219601,,"Boulangerie Le Parisien","",5.451489,-4.0442,,,0,NC004,,,
1219600,,"Boulangerie Le Parisien","",5.451358,-4.0446,,,0,NC004,,,
1219701,,"Carrefour Baoule","",5.45205,-4.041319,,,0,NC003,,,
1219700,,"Carrefour Baoule","",5.451806,-4.042128,,,0,NC003,,,
1219801,,"Groupe Scolaire Rose Marie DELIMA","",5.452378,-4.039389,,,0,NC002,,,
1219800,,"Groupe Scolaire Rose Marie DE LIMA","",5.452197,-4.039958,,,0,NC002,,,
1219900,,"Terminus Bois SEC","",5.453028,-4.035139,,,0,NC001,,,
1224400,,"PIERRE MARIE CURIE","",5.244717,-3.891931,,,0,BA023,,,
1224900,,"TERMINUS PALM-AFRIQUE","",5.3164,-3.8004,,,0,GA021,,,
1225001,,"Carrefour ELOKA R","",5.3143,-3.807797,,,0,GA022,,,
1225000,,"Carrefour ELOKA R","",5.3142,-3.807897,,,0,GA022,,,
1225101,,"Carrefour au Bord R","",5.316697,-3.817797,,,0,GA023,,,
1225100,,"Carrefour au bord R","",5.3161,-3.8171,,,0,GA023,,,
1225201,,"Cité koffikro R","",5.320297,-3.824397,,,0,GA024,,,
1225200,,"Cité KOFFIKRO R","",5.319997,-3.822997,,,0,GA024,,,
1228301,,"COTE D'IVOIRE ENERGIE A","",5.3224,-3.830697,,,0,GA025,,,
1228300,,"Cote D'ivoire energie R","",5.321697,-3.8295,,,0,GA025,,,
1228401,,"EPP SEBIA A","",5.3256,-3.8385,,,0,GA026,,,
1228400,,"EPP SEBIA","",5.3255,-3.8386,,,0,GA026,,,
1228500,,"Group Scolaire Berloz A","",5.3332,-3.848197,,,0,GA027,,,
1228600,,"MONDIAL BRIQUE A","",5.336397,-3.8525,,,0,GA028,,,
1228701,,"Carrefour ANAN A","",5.340597,-3.858897,,,0,GA029,,,
1228700,,"Carrefour ANAN","",5.339897,-3.8578,,,0,GA029,,,
1228800,,"Arret panneau fitness A","",5.344797,-3.8656,,,0,GA030,,,
1228900,,"ARRET CANAL R","",5.324197,-3.835097,,,0,GA031,,,
1229000,,"CARREFOUR BLANC","",5.332297,-3.8471,,,0,GA032,,,
1229100,,"GARAGE AUTO LE CORRECTEUR","",5.3348,-3.8505,,,0,GA033,,,
1229200,,"STATION ORYX","",5.341397,-3.860328,,,0,GA034,,,
1229300,,"BTP MAT","",5.343997,-3.864297,,,0,GA035,,,
1229400,,"COMEF","",5.347397,-3.868297,,,0,GA036,,,
1229500,,"CHEZ RICHMOND","",5.350897,-3.870997,,,0,GA037,,,
1229600,,"ARRET IMPOT","",5.3582,-3.884297,,,0,GA038,,,
1229601,,"ARRET IMPOT A","",5.3587,-3.884197,,,0,GA038,,,
1229700,,"CARREFOUR BANGJI","",5.356997,-3.883497,,,0,GA039,,,
1229900,,"HOPITAL GENERAL BINGERVILLE","",5.359997,-3.886,,,0,AG041,,,
20000300,,"BK BASE CIE AIR.F-TCHE A","",7.6511,-5.016297,,,0,FB001,,,
20000500,,"BK TERMINUS ZONE R","",7.703803,-5.060558,,,0,FZ001,,,
20000700,,"BK CORRIDOR SUD R","",7.6487,-5.0274,,,0,FN001,,,
20000800,,"BK TERMINUS OLAM( KENNEDY)","",7.697797,-4.9699,,,0,FO001,,,
20000900,,"BK TERMINUS HABITAT","",7.708803,-5.038253,,,0,FA026,,,
20001100,,"BK 1er ARRET TOLLA R","",7.724697,-5.0417,,,0,FT010,,,
20001101,,"BK 1er ARRET TOLLA A","",7.724128,-5.041239,,,0,FT010,,,
20001200,,"BK 2EME ARRONDISSEMENT A","",7.6833,-5.038397,,,0,FS017,,,
20001201,,"BK 2eme ARRONDISSEMENT R","",7.683,-5.037997,,,0,FS017,,,
20001300,,"BK ADJE YAOKRO A","",7.680597,-5.0833,,,0,FS004,,,
20001301,,"BK ADJE YAOKRO R","",7.6802,-5.0813,,,0,FS004,,,
20001400,,"BK ORANGE-CI  A","",7.683897,-5.0313,,,0,FP001,,,
20001401,,"BK AGENCE ORANGE R","",7.683797,-5.031097,,,0,FP001,,,
20001500,,"BK ANCIEN STADE A","",7.683897,-5.0414,,,0,FS016,,,
20001501,,"BK ANCIEN STADE R","",7.683633,-5.041031,,,0,FS016,,,
20001600,,"BK ANTENNE R","",7.726264,-5.043836,,,0,FD009,,,
20001601,,"BK ANTENNE A","",7.725825,-5.043475,,,0,FD009,,,
20001700,,"BK ANTENNE TCHELEKRO A","",7.683586,-5.093489,,,0,FS002,,,
20001701,,"BK ANTENNE UNIVERSITE ADO R","",7.683497,-5.0936,,,0,FS002,,,
20001800,,"BK ANTENNE UNIVERSITE ADO A","",7.697081,-4.973733,,,0,FO002,,,
20001801,,"BK ANTENNE UNIVERSITE ADO R","",7.697328,-4.973522,,,0,FO002,,,
20001900,,"BK ARRET BANDJI A","",7.729097,-5.0619,,,0,FA003,,,
20002000,,"BK ARRET BOUTIQUE R","",7.738297,-5.060697,,,0,FT001,,,
20002100,,"BK MAIRIE DE BOUAKE R","",7.6604,-5.0277,,,0,FN002,,,
20002101,,"BK MAIRIE DE BOUAKE A","",7.657931,-5.028081,,,0,FN002,,,
20002200,,"BK ARRET SOTACI A","",7.7113,-5.040197,,,0,FA010,,,
20002201,,"BK ARRET SOTACI R","",7.7113,-5.040197,,,0,FA010,,,
20002300,,"BK ECOBANK GBEKE A","",7.6815,-5.027997,,,0,FA022,,,
20002301,,"BK ECOBANK GBEKE R","",7.680811,-5.02805,,,0,FA022,,,
20002400,,"BK BASE CIE","",7.697211,-5.0335,,,0,FA016,,,
20002500,,"BK GRACE HOTEL  A","",7.6671,-5.0277,,,0,FA009,,,
20002501,,"BK GRACE HOTEL  R","",7.668097,-5.027597,,,0,FA009,,,
20002600,,"BK BOULANGERIE DU MARCHE R","",7.729197,-5.0477,,,0,FT007,,,
20002601,,"BK BOULANGERIE DU MARCHE A","",7.729586,-5.048333,,,0,FT007,,,
20002700,,"BK BOULANGERIE IVOIRIENNE","",7.692267,-5.0318,,,0,FA018,,,
20002800,,"BK CAMP PENAL A","",7.682697,-5.0714,,,0,FS007,,,
20002801,,"BK CAMP PENAL R","",7.683797,-5.068697,,,0,FS007,,,
20002900,,"BK CAMPEMENT 1ER ARRÊT A","",7.695769,-4.990308,,,0,FO005,,,
